"var1";"var2";"N";"E";"PRR";"QUANT_05";"ebgm";"QUANT_95"
"BRENTUXIMAB VEDOTINMPI";"HODGKINS DISEASE";9;0,01383799;721,66;121,66;220,37;374,02
"LIDOCAINE PATCH";"PRODUCT QUALITY ISSUE";104;0,6970958;156,39;121,65;143,38;168,07
"ACETAMINOPHEN";"ANION GAP";9;0,0138684022444914;2592,83;121,56;220,2;373,73
"DULERA";"PRODUCT QUALITY ISSUE";111;0,7507185;155,5;121,55;142,49;166,2
"NEXPLANON";"COMPLICATION OF DEVICE INSERTION";137;0,9491514;246,09;121,5;140,16;161
"REMODULIN";"INFUSION SITE SWELLING";58;0,3546349;241,46;121,42;151,56;187,33
"GANCICLOVIR INJECTION";"PATHOGEN RESISTANCE";8;0,008052971;1017,55;121,34;228,77;400,76
"TERBINAFINE HYDROCHLORIDE";"PATHOGEN RESISTANCE";8;0,008052971;1017,55;121,34;228,77;400,76
"PREVACID";"DIALYSIS";65;0,4066631;214,46;121,3;149,51;182,66
"VIREAD";"BONE LOSS";23;0,1048733;255,44;121,27;173,59;242,35
"GEFITINIB";"ACQUIRED GENE MUTATION";7;0,002346158;3377,53;121,22;240,08;436,97
"PROPECIA";"ERECTILE DYSFUNCTION";16;0,05810218;282,62;121,12;187,1;278,76
"SUMATRIPTAN";"CORONARY ARTERY DISSECTION";8;0,008148555;1322,91;120,99;228,11;399,6
"BOTOX COSMETIC";"PRODUCT PREPARATION ERROR";433;3,27641;376,95;120,97;131,01;141,7
"INVELTYS";"ALLERGIC REACTION TO EXCIPIENT";7;0,002411329;3206,15;120,93;239,5;435,92
"ENVARSUS XR";"PROPHYLAXIS AGAINST TRANSPLANT REJECTION";7;0,002433053;Inf;120,84;239,31;435,58
"VALSARTAN DURA";"MENTAL IMPAIRMENT";8;0,008202864;992,07;120,78;227,73;398,94
"HYDROXYUREA";"IDIOPATHIC INTRACRANIAL HYPERTENSION";8;0,008211554;1099,82;120,75;227,67;398,83
"RASILEZ";"SENSORY LOSS";8;0,008296276;1004,22;120,44;227,09;397,81
"SALBUTAMOL SULFATE";"OBSTRUCTIVE AIRWAYS DISORDER";18;0,0718511;259,38;120,43;181,17;263,95
"TENOFOVIR DISOPROXIL";"BLOOD HIV RNA INCREASED";11;0,02655721;485,22;120,22;204,71;330,57
"BUPRENORPHINE";"PRODUCT ADHESION ISSUE";72;0,4634879;177,57;120,09;146,44;177,17
"IMATINIB";"CHRONIC MYELOID LEUKAEMIA";20;0,08564347;284,08;120,06;176,65;252,53
"MELPHALAN";"LENTICULAR OPACITIES";7;0,002626394;5773,54;119,98;237,62;432,5
"INVOKANA";"NEUROPATHIC ARTHROPATHY";9;0,01448753;1179,43;119,64;216,73;367,83
"ARIPIPRAZOLE";"ANOSOGNOSIA";12;0,03313297;511,63;119,62;198,72;314,53
"ARIPIPRAZOLE";"HYPERSEXUALITY";12;0,03313297;511,63;119,62;198,72;314,53
"ALEMTUZUMAB";"RED BLOOD CELLS URINE POSITIVE";10;0,02062012;753,83;119,57;209,46;346,12
"XIFAXAN";"INABILITY TO AFFORD MEDICATION";36;0,1989325;216,76;119,5;158,71;207,45
"PRILOSEC";"RENAL INJURY";103;0,7041429;158,71;119,22;140,62;164,96
"BUPRENORPHINE SIMILAR TO NDA 21306";"PRODUCT ADHESION ISSUE";13;0,03976304;334,52;119,19;193,8;301,35
"ALLI";"RECTAL DISCHARGE";8;0,008674269;1217,07;119,08;224,52;393,31
"PARACETAMOL";"ANALGESIC DRUG LEVEL INCREASED";20;0,08654717;461,18;119,08;175,22;250,48
"MABTHERA";"DIFFUSE LARGE BCELL LYMPHOMA REFRACTORY";13;0,03990207;408,59;118,93;193,38;300,7
"IMVEXXY";"VULVOVAGINAL BURNING SENSATION";12;0,03353051;403,93;118,8;197,37;312,39
"CYCLOPHOSPHAMIDE FOR INJECTION USP";"CYTOKINE RELEASE SYNDROME";12;0,0336413;364,88;118,57;196,99;311,79
"PARATHYROID HORMONE";"RECALLED PRODUCT";8;0,008832851;940,84;118,52;223,46;391,46
"BYL719";"HYPERGLYCAEMIA";12;0,03371516;361,5;118,42;196,74;311,4
"ZOLEDRONIC ACID";"OSTEONECROSIS OF JAW";44;0,260013;194,14;118,3;152,76;194,72
"TOUJEO";"DEVICE OPERATIONAL ISSUE";23;0,1081492;240,81;118,28;169,31;236,37
"SUMATRIPTAN INJECTION USP 6 MG05 ML";"PRODUCT QUALITY ISSUE";27;0,1364943;200,21;118,19;164,35;223,73
"NEXPLANON";"DEVICE EMBOLISATION";16;0,06040054;1109,37;117,86;182,05;271,24
"PARAGARD T 380A";"COMPLICATION OF DEVICE REMOVAL";21;0,09493903;236,71;117,56;171,29;242,8
"CINRYZE";"HEREDITARY ANGIOEDEMA";9;0,01520658;607,44;117,49;212,83;361,21
"PREVACID";"NEPHROPATHY";77;0,5139325;196,79;117,24;142,01;170,75
"PRILOSEC";"NEPHROGENIC ANAEMIA";31;0,1670117;206,13;117,04;159,05;212,19
"SKYLA";"DEVICE EXPULSION";47;0,2861097;174,36;116,84;149,59;189,2
"XIGDUO XR";"EUGLYCAEMIC DIABETIC KETOACIDOSIS";13;0,04106646;332,04;116,83;189,96;295,38
"OMEGA3ACID ETHYL ESTERS";"POOR QUALITY PRODUCT ADMINISTERED";11;0,02810176;402,71;116,71;198,73;320,91
"RASILEZ";"COORDINATION ABNORMAL";8;0,009369427;884,99;116,66;219,95;385,3
"VARIVAX";"PRODUCT STORAGE ERROR";33;0,1823704;184,26;116,61;156,92;207,52
"RASILEZ";"MOTOR DYSFUNCTION";8;0,009410702;880,97;116,52;219,68;384,84
"TICE BCG";"PRODUCT AVAILABILITY ISSUE";14;0,04796807;305,57;116,38;185,68;284,21
"ZICAM NOS";"ANOSMIA";7;0,00347579;2106,03;116,37;230,47;419,49
"KYMRIAH";"BCELL APLASIA";9;0,0156063;1316,86;116,33;210,72;357,64
"DABRAFENIB";"CUTANEOUS SARCOIDOSIS";7;0,003519237;3254,2;116,19;230,12;418,84
"TENOFOVIR DISOPROXIL";"CHRONIC HEPATITIS B";8;0,009560595;1188,67;116,01;218,72;383,15
"GRALISE";"DRUG TITRATION ERROR";7;0,003636545;2169,76;115,72;229,17;417,11
"MAKENA";"INDUCED LABOUR";13;0,04170948;2331,1;115,69;188,12;292,53
"JAKAVI";"POLYCYTHAEMIA VERA";10;0,0221712;860,16;115,62;202,54;334,68
"MINOCYCLINE";"AUTOIMMUNE THYROIDITIS";8;0,009708316;889,23;115,51;217,78;381,51
"VEDOLIZUMAB";"FAECAL CALPROTECTIN INCREASED";86;0,5929176;238,89;115,49;138,42;164,81
"LOSARTAN";"OLIGOHYDRAMNIOS";23;0,1114425;234,67;115,42;165,21;230,66
"SYNAGIS";"RESPIRATORY SYNCYTIAL VIRUS BRONCHIOLITIS";20;0,09009248;590,32;115,41;169,81;242,75
"KORLYM";"BLOOD POTASSIUM DECREASED";16;0,06247733;261,9;115,05;177,72;264,77
"CIPROFLOXACIN";"TENDON PAIN";53;0,3377099;210,61;114,82;144,84;180,75
"XGEVA";"BONE GIANT CELL TUMOUR";7;0,003875506;14442,73;114,75;227,25;413,63
"NEXIUM";"NEPHROGENIC ANAEMIA";202;1,538797;374,93;114,61;128,87;144,5
"SOOLANTRA";"ROSACEA";10;0,02265781;473,03;114,43;200,46;331,25
"VELETRI";"CATHETER PLACEMENT";13;0,04247415;422,71;114,38;185,98;289,2
"DROPERIDOL INJECTION USP 970225";"EMBOLISM VENOUS";7;0,003984124;1805,18;114,32;226,4;412,07
"MUSE";"ADMINISTRATION SITE PAIN";7;0,003997159;2122,51;114,26;226,29;411,88
"CREON";"PANCREATICODUODENECTOMY";7;0,004066674;7742,39;113,99;225,75;410,89
"ZOFRAN ODT";"INJURY";10;0,0228707;443,97;113,92;199,56;329,77
"SERETIDE";"ASTHMATIC CRISIS";9;0,01649914;579,05;113,81;206,16;349,9
"SOLIRIS";"HAEMOLYSIS";45;0,2790755;222,88;113,76;146,47;186,2
"MYCOPHENOLATE MOFETIL";"PREENGRAFTMENT IMMUNE REACTION";13;0,04288256;864,3;113,69;184,86;287,45
"VIREAD";"OSTEONECROSIS";36;0,2103939;192,3;113,68;150,97;197,34
"GOPRELTO";"RESPIRATORY ARREST";13;0,04296511;308,84;113,55;184,63;287,1
"METFORMIN HYDROCHLORIDE EXTENDEDRELEASE";"LACTIC ACIDOSIS";9;0,01668379;545,83;113,3;205,24;348,34
"METHADONE";"ENCEPHALOPATHY";27;0,1437304;196,55;113,11;157,29;214,12
"VELETRI";"DEVICE CONNECTION ISSUE";13;0,04337786;410,63;112,86;183,51;285,36
"ENDOXAN";"BONE MARROW FAILURE";31;0,1747627;184,16;112,49;152,88;203,94
"MONTELUKAST";"SEPARATION ANXIETY DISORDER";8;0,01063592;1503,34;112,48;212,08;371,51
"ADYNOVATE";"HAEMARTHROSIS";10;0,0235267538076194;437,13;112,37;196,85;325,28
"RISPERDAL";"EMOTIONAL DISORDER";201;1,561929;176,13;112,35;126,36;141,73
"ACTILYSE";"HAEMORRHAGIC TRANSFORMATION STROKE";7;0,00449680335935107;2030,12;112,31;222,43;404,84
"TOLVAPTAN";"THIRST";21;0,1005459;222,21;112,31;163,62;231,94
"CLIMARA PRO";"PRODUCT ADHESION ISSUE";10;0,0236093;431,08;112,18;196,52;324,73
"ACTIVELLA";"MENORRHAGIA";13;0,043881849207194;304,05;112,03;182,17;283,27
"ZOSTAVAX";"HERPES ZOSTER";20;0,09358347;216,01;112;164,8;235,59
"RANMARK";"OSTEONECROSIS OF JAW";10;0,02370489;434,57;111,96;196,13;324,09
"EFAVIRENZ";"LIPODYSTROPHY ACQUIRED";8;0,01094874;836,81;111,5;210,22;368,26
"ALEMTUZUMAB";"BASEDOWS DISEASE";15;0,0581782080998942;318,02;111,49;174,87;263,9
"IDELVION";"HAEMARTHROSIS";11;0,03058478;370,93;111,47;189,81;306,51
"PEXIDARTINIB";"ASPARTATE AMINOTRANSFERASE INCREASED";11;0,03077812;361,31;111,09;189,15;305,44
"INVOKANA";"AMPUTATION";9;0,01753753;842,45;111,02;201,1;341,31
"KYPROLIS";"INTERCEPTED PRODUCT PREPARATION ERROR";20;0,09467618;227,23;110,98;163,29;233,43
"ALEMTUZUMAB";"URINARY SEDIMENT PRESENT";9;0,01767439;814,14;110,66;200,45;340,2
"TAFINLAR";"METASTATIC MALIGNANT MELANOMA";15;0,05881037;332,83;110,65;173,55;261,91
"KOMBIGLYZE XR";"CARDIAC FAILURE CONGESTIVE";10;0,02427839;415,97;110,64;193,84;320,3
"LOPERAMIDE";"ELECTROCARDIOGRAM QRS COMPLEX PROLONGED";9;0,01770698;542,34;110,57;200,29;339,94
"MIRENA";"EMBEDDED DEVICE";116;0,8706311;305,59;110,42;129;149,95
"ARIPIPRAZOLE";"BLOOD PROLACTIN ABNORMAL";12;0,0379817;423,92;110,37;183,36;290,22
"MULTIHANCE";"URINE ANALYSIS ABNORMAL";7;0,005018172;1489,66;110,35;218,53;397,76
"IMPLANON NXT";"BLOOD LOSS ANAEMIA";9;0,01781342;534,52;110,3;199,79;339,1
"AZTREONAM LYSINE";"LUNG TRANSPLANT";22;0,1103998;248,84;110,2;159,09;223,75
"FARXIGA";"FOURNIERS GANGRENE";14;0,0520782;300,87;110,16;175,75;269,01
"MINOCYCLINE";"DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS";14;0,05210427;275,26;110,12;175,69;268,92
"NICODERM CQ";"NICOTINE DEPENDENCE";9;0,01791987;572,72;110,02;199,3;338,25
"INVOKANA";"DIABETIC ULCER";8;0,01143752;1497,68;109,99;207,38;363,28
"DUODOPA";"AKINESIA";23;0,1182464;372,54;109,92;157,35;219,68
"DUODOPA";"STOMA SITE INDURATION";10;0,02463466;Inf;109,85;192,44;317,99
"WARFARIN SODIUM";"UPPER GASTROINTESTINAL HAEMORRHAGE";63;0,4353688;159,28;109,83;135,83;166,48
"TENOFOVIR";"HEPATITIS B";8;0,01149618;742,99;109,81;207,04;362,7
"NEXIUM";"CHRONIC KIDNEY DISEASEMINERAL AND BONE DISORDER";54;0,362362;569,72;109,8;138,2;172,11
"IMOVANE";"INTENTIONAL OVERDOSE";30;0,1720951;176,58;109,7;149,87;200,87
"DICLOFENAC SODIUM";"PRODUCT ADMINISTERED AT INAPPROPRIATE SITE";26;0,1413691;197,58;109,67;153,51;210,18
"BENLYSTA";"EXPOSURE VIA SKIN CONTACT";27;0,1492417;247,46;109,53;152,31;207,34
"NEXIUM";"HYPERPARATHYROIDISM SECONDARY";117;0,8885314;378,28;109,27;127,56;148,2
"BUPRENORPHINE TRANSDERMAL PATCH SIMILAR TO NDA 21306";"APPLICATION SITE PRURITUS";10;0,0249301;414,82;109,2;191,29;316,09
"OXALIPLATIN";"DYSAESTHESIA PHARYNX";8;0,01171124;6139,94;109,17;205,82;360,56
"MINOCYCLINE";"TYPE 1 DIABETES MELLITUS";8;0,01175686;724,29;109,03;205,56;360,11
"METFORMIN HYDROCHLORIDETABLETS";"LACTIC ACIDOSIS";10;0,02502569;404,85;108,99;190,93;315,49
"ENALAPRIL";"ANGIOTENSIN CONVERTING ENZYME INHIBITOR FOETOPATHY";7;0,005396164;1750,89;108,96;215,79;392,77
"SALBUTAMOL SULPHATE";"ASTHMA";245;1,993529;132,56;108,92;121,14;134,42
"DUODOPA";"STOMA SITE HAEMORRHAGE";27;0,1502714;321,56;108,89;151,41;206,12
"KYMRIAH";"NEUTROPHIL COUNT DECREASED";137;1,063179;147,24;108,77;125,47;144,13
"EYLEA";"REFUSAL OF TREATMENT BY PATIENT";29;0,1660689;253,3;108,72;149,36;201,18
"EUTHYROX";"BLOOD THYROID STIMULATING HORMONE INCREASED";17;0,07497931;248,29;108,61;165,47;243,66
"GLIVEC";"POLYMERASE CHAIN REACTION POSITIVE";8;0,01196975;1153,7;108,4;204,37;358,02
"DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE";"FUNGAL PERITONITIS";8;0,0120762;1250,42;108,08;203,78;356,98
"ATRIPLA";"MULTIPLE INJURIES";10;0,02555575;553,93;107,84;188,91;312,17
"SIRTURO";"ELECTROCARDIOGRAM QT PROLONGED";26;0,1441975;185,96;107,83;150,94;206,66
"NUVARING";"UNINTENDED PREGNANCY";18;0,08367965;234,77;107,29;161,41;235,16
"ALPRAZOLAM TABLETS USP";"RECALLED PRODUCT ADMINISTERED";7;0,005874085;1243,12;107,26;212,43;386,64
"SAVENE";"BONE MARROW FAILURE";11;0,03276801;340,15;107,25;182,6;294,87
"GABLOFEN";"CEREBROSPINAL FLUID LEAKAGE";10;0,02586857;478,37;107,17;187,75;310,23
"PROTONIX";"RENAL HAEMANGIOMA";8;0,01244767;1376,05;107;201,75;353,42
"BUPRENORPHINE TRANSDERMAL PATCH SIMILAR TO NDA 21306";"PRODUCT ADHESION ISSUE";13;0,04721861;281,69;106,84;173,72;270,13
"MIRENA";"OFF LABEL USE OF DEVICE";22;0,1146685;1031,63;106,82;154,22;216,89
"KYMRIAH";"CYTOPENIA";54;0,3735757;168,11;106,72;134,31;167,27
"HYDROCODONE BITARTRATE AND ACETAMINOPHEN";"DRUG DIVERSION";19;0,09228223;223,51;106,31;158,09;228,06
"BEOVU";"ANTERIOR CHAMBER CELL";9;0,01945139;782,32;106,21;192,39;326,53
"METHADONE HYDROCHLORIDE";"PIERRE ROBIN SYNDROME";7;0,006184734;2451,11;106,19;210,29;382,75
"ACETAMINOPHEN PARACETAMOL";"OLIGOHYDRAMNIOS";10;0,0264160042752217;399,53;106,03;185,74;306,91
"ONDANSETRON";"CLEFT LIP";7;0,006256422;1988,29;105,94;209,81;381,87
"VALPROIC ACID";"FOETAL ANTICONVULSANT SYNDROME";7;0,006269456;1527,51;105,89;209,72;381,71
"MYORISAN";"LIP DRY";57;0,4025399;212,52;105,73;132,23;163,73
"ZANTAC 75";"RENAL CANCER";18;0,0852872;226,68;105,73;159,05;231,72
"PROPECIA";"SEXUAL DYSFUNCTION";9;0,0197099;476,92;105,6;191,27;324,63
"NIRAPARIB";"RECURRENT CANCER";18;0,08543926;259,69;105,58;158,83;231,4
"PONATINIB";"ACUTE LYMPHOCYTIC LEUKAEMIA";15;0,06308559;275,16;105,26;165,1;249,16
"ARTEMETHERLUMEFANTRINE";"MALARIA RELAPSE";6;0,00009123949;Inf;105,17;221,66;423,12
"SKYLA";"EXPIRED DEVICE USED";8;0,01310156;778,78;105,16;198,26;347,31
"TRUVADA";"TOOTH LOSS";76;0,56764;166,05;105,08;127,45;153,42
"VAYARIN NONSPECIFIC";"TIC";16;0,07085398;264,92;104,97;162,15;241,58
"LIOTHYRONINE SODIUM";"REACTION TO EXCIPIENT";8;0,01321669;649,65;104,84;197,66;346,26
"VELETRI";"DYSPNOEA EXERTIONAL";156;1,273321;137,64;104,8;119,79;136,43
"VISUDYNE";"POLYPOIDAL CHOROIDAL VASCULOPATHY";6;0,0001911685;69047,85;104,74;220,77;421,43
"TOLVAPTAN";"POLYURIA";15;0,06356351;253,18;104,69;164,21;247,81
"ELIGARD";"PRODUCT LEAKAGE";46;0,3138117;207,47;104,68;134,39;170,41
"VYNDAQEL";"CARDIAC AMYLOIDOSIS";10;0,0270764;488,14;104,67;183,37;303
"COLLAGENASE SANTYL";"WOUND COMPLICATION";7;0,006647448;1141,76;104,62;207,19;377,12
"TACROLIMUS";"NEW ONSET DIABETES AFTER TRANSPLANTATION";12;0,04156393;781,93;104,41;173,46;274,54
"AMIODARONE";"PULMONARY TOXICITY";19;0,09466097;225,04;104,19;154,94;223,52
"2 CHLORHEXIDINE SOLUTION";"MEDIASTINITIS";6;0,000325855315895005;30687,8;104,18;219,59;419,17
"ALPRAZOLAM";"PRESCRIPTION FORM TAMPERING";16;0,07161648;392,87;104,14;160,86;239,67
"TRAVATAN Z";"INTRAOCULAR PRESSURE INCREASED";13;0,04913464;278,29;104,07;169,22;263,13
"LAMIVUDINE";"CRYPTORCHISM";10;0,02748915;498,14;103,85;181,92;300,61
"VELETRI";"DEVICE OCCLUSION";38;0,2494227;176,52;103,8;136,78;177,53
"EPIDIOLEX";"CHANGE IN SEIZURE PRESENTATION";10;0,02753477;1087,53;103,75;181,76;300,35
"BYDUREON BCISE";"INCORRECT DOSE ADMINISTERED BY DEVICE";152;1,251882;160,28;103,64;118,67;135,38
"OMEGA3ACID ETHYL ESTERS";"PRODUCT ODOUR ABNORMAL";8;0,01369244;609,76;103,54;195,22;341,98
"SANDOSTATIN LAR DEPOT";"BODY TEMPERATURE DECREASED";108;0,859867;156,75;103,43;121,52;142,03
"CLONAZEPAM";"STUBBORNNESS";7;0,007012406;2394,35;103,42;204,81;372,78
"CODEINE";"CONTRAST MEDIA ALLERGY";7;0,007025441;1114,47;103,37;204,73;372,63
"VIREAD";"TOOTH INJURY";11;0,03495776;394,91;103,31;175,91;284,06
"MAKENA";"SHORTENED CERVIX";10;0,02780632;Inf;103,22;180,82;298,8
"SKYLA";"PREGNANCY WITH CONTRACEPTIVE DEVICE";17;0,08037982;228,54;103,03;156,97;231,15
"HIZENTRA";"INFUSION SITE ERYTHEMA";38;0,2516385;186,86;102,97;135,68;176,11
"PARAGARD T 380A";"DYSMENORRHOEA";14;0,0574396;262,72;102,97;164,28;251,46
"ILARIS";"APPARENT DEATH";16;0,07274829;266,03;102,93;159;236,89
"ZIOPTAN";"OCULAR HYPERAEMIA";65;0,4844209;141,6;102,78;126,68;154,77
"TRUVADA";"BONE LOSS";36;0,2357889;196,02;102,6;136,26;178,1
"VALSARTAN DURA";"FEAR OF DISEASE";6;0,0007299159;9589,98;102,53;216,11;412,52
"BLINATUMOMAB";"CYTOKINE RELEASE SYNDROME";24;0,1368853;183,53;102,38;145,4;201,59
"CEFTRIAXONE SODIUM";"PSEUDOCHOLELITHIASIS";6;0,0007755357;54150,12;102,35;215,72;411,78
"COPIKTRA";"PRESCRIBED UNDERDOSE";25;0,1453011;179,11;102,22;144,08;198,48
"IMVEXXY";"VULVOVAGINAL PAIN";11;0,03576588;340,94;101,93;173,56;280,27
"PROPECIA";"SPONTANEOUS PENILE ERECTION";6;0,0009341186;16056,42;101,72;214,39;409,24
"TACROLIMUS";"POST TRANSPLANT LYMPHOPROLIFERATIVE DISORDER";47;0,3325115;204,17;101,66;130,16;164,63
"ATRIPLA";"BONE LOSS";22;0,1217656;208,91;101,65;146,75;206,39
"REMODULIN";"INFUSION SITE HAEMORRHAGE";26;0,1545336;251,87;101,61;142,24;194,75
"LUMIGAN";"PRODUCT PACKAGING QUANTITY ISSUE";27;0,1628625;182,45;101,58;141,25;192,29
"BIJUVA";"BREAST TENDERNESS";8;0,01444408;597,65;101,56;191,47;335,42
"LOPERAMIDE HYDROCHLORIDE";"INCORRECT PRODUCT ADMINISTRATION DURATION";57;0,4204316;145,08;101,48;126,91;157,15
"NEXPLANON";"IMPLANT SITE BRUISING";10;0,02876216;Inf;101,38;177,6;293,46
"VECTIBIX";"DERMATITIS ACNEIFORM";11;0,03614387;335,52;101,3;172,48;278,53
"BUPRENORPHINE";"ACCIDENTAL POISONING";8;0,01458528;986,5;101,19;190,79;334,21
"INVELTYS";"PRODUCT PRESCRIBING ISSUE";7;0,007722771;933,97;101,16;200,33;364,63
"ETONOGESTREL  ETHINYL ESTRADIOL";"MEDICAL DEVICE SITE PAIN";6;0,001094874;7671,72;101,08;213,05;406,7
"VELETRI";"TRANSPLANT EVALUATION";10;0,02891857;502,53;101,08;177,08;292,6
"VIAGRA";"MALIGNANT MELANOMA";43;0,3001258;163,33;100,99;130,82;167,21
"RISPERIDONE";"EMBOLISM VENOUS";40;0,2743354;171,9;100,96;132,07;170,31
"CIPROFLOXACIN";"BACTERIAL COLITIS";8;0,01468304;4895,62;100,94;190,31;333,38
"PARAGARD T 380A";"DEVICE BREAKAGE";24;0,1395812;181,16;100,7;143,01;198,29
"TERBINAFINE";"PATHOGEN RESISTANCE";18;0,09077895;209,42;100,7;151,49;220,71
"IMATINIB MESILATE";"GENE MUTATION";7;0,007885699;947,94;100,65;199,33;362,81
"WARFARIN SODIUM";"INTERNATIONAL NORMALISED RATIO INCREASED";38;0,2584206;162,13;100,5;132,43;171,89
"HEPARIN";"COAGULATION TIME";6;0,001270836;14161,91;100,4;211,61;403,94
"ENVARSUS XR";"FOCAL SEGMENTAL GLOMERULOSCLEROSIS";8;0,0149459;657,38;100,27;189,05;331,18
"ATRIPLA";"FANCONI SYNDROME ACQUIRED";12;0,04434674;339,43;100,2;166,47;263,49
"DUODOPA";"REDUCED FACIAL EXPRESSION";24;0,1404176;294,5;100,19;142,29;197,28
"METFORMIN";"LACTIC ACIDOSIS";307;2,757831;184,79;100,18;110,15;120,88
"SALBUTAMOL SULPHATE";"LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES";146;1,240205;126,55;100,17;115,02;131,57
"TRUVADA";"EMOTIONAL DISTRESS";445;4,084097;129,31;100;108,18;116,89
"LERGIGAN PROMETHAZINE HYDROCHLORIDE";"AKATHISIA";41;0,2859402;162,85;99,99;130,36;167,59
"ABREVA";"INCORRECT PRODUCT ADMINISTRATION DURATION";52;0,382893030389267;144,44;99,92;126,34;157,98
"FINASTERIDE";"DEPRESSION SUICIDAL";10;0,02957028;385,01;99,87;174,95;289,1
"HEPSERA";"FANCONI SYNDROME ACQUIRED";6;0,001409867;4737,39;99,87;210,49;401,8
"CLINDAMYCIN HYDROCHLORIDE CAP 150 MG";"ABORTION SPONTANEOUS";8;0,01511969;534,01;99,83;188,23;329,74
"AMLODIPINE";"GINGIVAL HYPERTROPHY";28;0,1746693;280,86;99,79;137,9;186,71
"ZOFRAN";"POOR FEEDING INFANT";7;0,008211554;1022,75;99,65;197,36;359,22
"LAPENAX";"LEUKOPENIA";21;0,1165259;183,07;99,61;145,12;205,7
"MODAFINIL";"CEREBRAL VENTRICLE DILATATION";6;0,001511969;5290,78;99,47;209,67;400,24
"PROPECIA";"LIBIDO DECREASED";9;0,02251226;415,25;99,33;179,93;305,38
"INVELTYS";"EYE DISCHARGE";7;0,008341896;862,7;99,27;196,59;357,81
"MYOVIEW";"NO ADVERSE EVENT";44;0,3147762;141,75;99,21;128,12;163,31
"TRIAMCINOLONE ACETONIDE";"KERATITIS FUNGAL";6;0,001581484;6638,58;99,21;209,12;399,18
"BAXDELA";"DRUG EFFECTIVE FOR UNAPPROVED INDICATION";9;0,02257526;407,11;99,2;179,69;304,98
"KOGENATE FS";"RECALLED PRODUCT ADMINISTERED";11;0,03744729;314,13;99,18;168,87;272,7
"SUBLOCADE";"INJECTION SITE INFECTION";12;0,04506796;311,74;99,17;164,75;260,77
"DECITABINE";"MUCORMYCOSIS";7;0,008407067;906,32;99,07;196,2;357,11
"DULOXETINE";"GRANULOCYTOPENIA";9;0,02264043;476,82;99,06;179,45;304,56
"ESTRADIOL TRANSDERMAL SYSTEM";"APPLICATION SITE IRRITATION";11;0,03754722;316,24;99,02;168,6;272,26
"VANCOMYCIN HYDROCHLORIDE";"RENAL TUBULAR NECROSIS";7;0,00844617;856,5;98,95;195,97;356,68
"SIMVASTATIN";"CIRRHOSIS ALCOHOLIC";7;0,008454859;1654,85;98,93;195,92;356,59
"PARAGARD T 380A";"EMBEDDED DEVICE";14;0,06101098;246,21;98,69;157,44;240,99
"DONEPEZIL";"MUCOSAL HAEMORRHAGE";8;0,01558675;637,44;98,68;186,05;325,92
"GLIVEC";"GLIOBLASTOMA";10;0,03023937;417,46;98,65;172,82;285,58
"EFAVIRENZ";"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA";6;0,001737895;8629,63;98,63;207,88;396,83
"PHENYTOIN SODIUM";"PURPLE GLOVE SYNDROME";6;0,001737895;5523,32;98,63;207,88;396,83
"MYCOPHENOLATE MOFETIL";"TRANSPLANT REJECTION";79;0,6346619;169,43;98,53;119,05;142,8
"PROPECIA";"POST 5ALPHAREDUCTASE INHIBITOR SYNDROME";6;0,001774825;4940,44;98,49;207,59;396,27
"PROPAFENONE";"ELECTROCARDIOGRAM QRS COMPLEX PROLONGED";7;0,008698165;846,14;98,21;194,49;354
"VALSARTAN";"MUSCLE CONTRACTURE";16;0,07757094;258,39;98,08;151,5;225,72
"PREVACID";"RENAL INJURY";232;2,092554;134,58;98,01;109,34;121,67
"VIREAD";"EMOTIONAL DISTRESS";203;1,816509;120,39;97,84;109,98;123,28
"TOBRAMYCIN";"INFECTIVE PULMONARY EXACERBATION OF CYSTIC FIBROSIS";19;0,1025358;193,03;97,75;145,35;209,69
"MIRENA";"MEDICAL DEVICE PAIN";49;0,3652404;310,5;97,64;124,36;156,55
"MEKTOVI";"SEROUS RETINAL DETACHMENT";8;0,01605815;782,3;97,54;183,9;322,16
"NEXIUM";"RENAL INJURY";677;6,487768;215,41;97,47;103,88;110,61
"PROMETHAZINE WITH CODEINE";"NERVOUS SYSTEM DISORDER";7;0,008954504;793,85;97,46;193,01;351,31
"EPIDIOLEX";"ANTICONVULSANT DRUG LEVEL INCREASED";11;0,03854868;598,14;97,45;165,93;267,95
"NEXPLANON";"DEVICE DIFFICULT TO USE";115;0,9807897;176,41;97,41;113,87;132,45
"LUMIFY";"PRODUCT COUNTERFEIT";7;0,008993607;1273;97,35;192,79;350,9
"CLINDAMYCIN HYDROCHLORIDE CAP 150MG";"MATERNAL EXPOSURE DURING PREGNANCY";18;0,094863;191,16;97,26;146,32;213,17
"VELETRI";"CATHETER SITE SCAB";7;0,009037054;2579,63;97,22;192,54;350,45
"BOTOX COSMETIC";"BROW PTOSIS";46;0,3399583;403,93;97,17;124,76;158,19
"ELIGARD";"INTERCEPTED PRODUCT ADMINISTRATION ERROR";15;0,07040647;372,09;97,16;152,4;230
